               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12014,            0.032432,            0.068627,          0.00069651,                 0.1,           0.0012259,          0.00031821,             0.05607,            0.026252,            0.046492,              0.0937,              0.0007,              0.0007
                   1,             0.10674,            0.032761,            0.068186,          0.00094841,              0.2463,           0.0010988,          0.00027387,            0.042564,            0.024768,            0.045965,            0.086495,            0.001495,            0.001495
                   2,            0.077316,             0.03349,            0.062685,           0.0015287,             0.43981,           0.0016817,          0.00056104,            0.032782,            0.023887,            0.045067,            0.079285,           0.0022848,           0.0022848
                   3,             0.06016,             0.03001,            0.060782,           0.0029865,             0.83333,            0.025438,            0.011434,            0.028212,            0.021511,            0.044509,            0.072069,           0.0030693,           0.0030693
                   4,            0.060392,            0.030768,            0.064416,           0.0031662,             0.91667,            0.045973,            0.018893,            0.030448,            0.018826,            0.043478,            0.064849,           0.0038485,           0.0038485
                   5,            0.055956,             0.02678,            0.060505,           0.0032742,                0.95,            0.076303,            0.025555,            0.040674,            0.015659,            0.042983,            0.057622,           0.0046225,           0.0046225
                   6,              0.0631,            0.027581,            0.063176,            0.048661,             0.68889,             0.12742,            0.063742,            0.032375,            0.015036,            0.042768,            0.050391,           0.0053911,           0.0053911
                   7,            0.058164,            0.023152,            0.060477,             0.37955,             0.21296,             0.14128,            0.080151,            0.039368,            0.013076,            0.042817,            0.043154,           0.0061545,           0.0061545
                   8,            0.058604,            0.023336,            0.062201,             0.15879,             0.41517,             0.14707,            0.071514,            0.028958,            0.011624,            0.042095,            0.035913,           0.0069126,           0.0069126
                   9,            0.055564,             0.02171,            0.062437,             0.21955,             0.18904,             0.18022,             0.11045,            0.024459,            0.010613,            0.041753,            0.028665,           0.0076654,           0.0076654
                  10,            0.058332,            0.021033,            0.064211,             0.37274,             0.16852,            0.070511,            0.020562,            0.042417,           0.0088356,            0.041496,            0.021413,           0.0084129,           0.0084129
                  11,             0.06015,            0.016867,             0.05948,             0.46212,             0.14167,             0.16551,            0.060308,            0.037549,           0.0086249,             0.04139,            0.014155,           0.0091552,           0.0091552
                  12,            0.047503,            0.016849,             0.05317,             0.21776,              0.2371,               0.123,            0.058795,            0.036477,           0.0076953,            0.041363,            0.009604,            0.009604,            0.009604
                  13,            0.046846,            0.018462,            0.057918,            0.048563,             0.31047,            0.089151,            0.021318,            0.041011,           0.0078697,            0.041479,            0.009604,            0.009604,            0.009604
